content_type	content_id	icon_key	expected_path	reason
skill	skill_sunken_anticluster_bombardment	skill_icon_sunken_anticluster_bombardment	Assets/Resources/_Game/Art/Icons/Skill/skill_icon_sunken_anticluster_bombardment.png	Authored skill has no generated icon yet.
skill	skill_veil_breach	skill_icon_veil_breach	Assets/Resources/_Game/Art/Icons/Skill/skill_icon_veil_breach.png	Authored skill has no generated icon yet.
site_event_choice	site_event_collapsed_aid_station/rescue	site_event_choice_rescue	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_rescue.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_collapsed_aid_station/take_supplies	site_event_choice_take_supplies	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_take_supplies.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_collapsed_aid_station/burn_it	site_event_choice_burn_it	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_burn_it.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_road_of_corpses/recover_scout	site_event_choice_recover_scout	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_recover_scout.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_road_of_corpses/move_on	site_event_choice_move_on	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_move_on.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_deserter_quartermaster/trade	site_event_choice_trade	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_trade.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_deserter_quartermaster/claim_bounty	site_event_choice_claim_bounty	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_claim_bounty.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_deserter_quartermaster/seize	site_event_choice_seize	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_seize.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_reliquary_cart/salvage	site_event_choice_salvage	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_salvage.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_reliquary_cart/leave	site_event_choice_leave	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_leave.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_reliquary_cart/break_seal	site_event_choice_break_seal	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_break_seal.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_hostage_standoff/assault	site_event_choice_assault	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_assault.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_hostage_standoff/ransom	site_event_choice_ransom	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_ransom.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_hostage_standoff/ignore	site_event_choice_ignore	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_ignore.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_memorial/offer_echo	site_event_choice_offer_echo	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_offer_echo.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_memorial/study_names	site_event_choice_study_names	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_study_names.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
site_event_choice	site_event_memorial/lay_to_rest	site_event_choice_lay_to_rest	Assets/Resources/_Game/Art/Icons/SiteEventChoice/site_event_choice_lay_to_rest.png	The choice identity is authored, but its final icon belongs to the separate art-generation unit.
