classification	field	definition_file_line	consumer_file_line	runtime_effect_or_winner	recommended_disposition	marker
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.ExposureTier	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:11	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.FactionId	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:16	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.FirstClearSpawnPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:14	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.GachaEligible	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:23	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.IllustrationTier	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:20	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.ModelArchetype	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:19	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:9	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.P09BasePresetId	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:18	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.SiteId	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:13	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ExtraActorCharacterDefinition.StorySafety	Assets/_Game/Scripts/Runtime/Content/Definitions/ExtraActorCharacterDefinition.cs:15	-	no runtime consumer; suspected intent: extra-actor spawn, combat binding, recruitment, or presentation metadata	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ItemBaseDefinition.AffixPoolTag	Assets/_Game/Scripts/Runtime/Content/Definitions/ItemBaseDefinition.cs:32	-	no runtime consumer; suspected intent: item eligibility, crafting, affix, or rule taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ItemBaseDefinition.AllowedArchetypeTags	Assets/_Game/Scripts/Runtime/Content/Definitions/ItemBaseDefinition.cs:40	-	no runtime consumer; suspected intent: item eligibility, crafting, affix, or rule taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ItemBaseDefinition.CraftCurrencyTag	Assets/_Game/Scripts/Runtime/Content/Definitions/ItemBaseDefinition.cs:35	-	no runtime consumer; suspected intent: item eligibility, crafting, affix, or rule taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ItemBaseDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/ItemBaseDefinition.cs:25	-	no runtime consumer; suspected intent: item eligibility, crafting, affix, or rule taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ItemBaseDefinition.ItemFamilyTag	Assets/_Game/Scripts/Runtime/Content/Definitions/ItemBaseDefinition.cs:29	-	no runtime consumer; suspected intent: item eligibility, crafting, affix, or rule taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ItemBaseDefinition.RuleModifierTags	Assets/_Game/Scripts/Runtime/Content/Definitions/ItemBaseDefinition.cs:38	-	no runtime consumer; suspected intent: item eligibility, crafting, affix, or rule taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.ItemBaseDefinition.UniqueRuleTags	Assets/_Game/Scripts/Runtime/Content/Definitions/ItemBaseDefinition.cs:41	-	no runtime consumer; suspected intent: item eligibility, crafting, affix, or rule taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.LootBundleDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/LootBundleDefinition.cs:13	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.LootBundleDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/LootBundleDefinition.cs:12	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.MobilityDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/MobilityDefinition.cs:14	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.PassiveDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/PassiveDefinition.cs:14	-	no runtime consumer; suspected intent: passive selection constraints and recruit taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.PassiveDefinition.MutuallyExclusiveGroupId	Assets/_Game/Scripts/Runtime/Content/Definitions/PassiveDefinition.cs:16	-	no runtime consumer; suspected intent: passive selection constraints and recruit taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.PassiveDefinition.RecruitNativeTags	Assets/_Game/Scripts/Runtime/Content/Definitions/PassiveDefinition.cs:18	-	no runtime consumer; suspected intent: passive selection constraints and recruit taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.PassiveDefinition.RecruitPlanTags	Assets/_Game/Scripts/Runtime/Content/Definitions/PassiveDefinition.cs:19	-	no runtime consumer; suspected intent: passive selection constraints and recruit taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.PassiveDefinition.RecruitScoutTags	Assets/_Game/Scripts/Runtime/Content/Definitions/PassiveDefinition.cs:20	-	no runtime consumer; suspected intent: passive selection constraints and recruit taxonomy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.RaceDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/RaceDefinition.cs:12	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.RewardSourceDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/RewardSourceDefinition.cs:14	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.BurstBias	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:71	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.ControlBias	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:75	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.ExecuteBias	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:74	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.MaintainRangeBias	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:73	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.MaximumDistance	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:79	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.MaximumTargetHealthRatio	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:77	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.MinimumDistance	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:78	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.MinimumTargetHealthRatio	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:76	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillAiScoreHints.ProtectBias	Assets/_Game/Scripts/Runtime/Content/Definitions/ContentAuthoringSchemaTypes.cs:72	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.AiIntents	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:56	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.AiScoreHints	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:57	-	no runtime consumer; suspected intent: authored AI action scoring	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.AnimationHookId	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:58	-	no runtime consumer; suspected intent: battle presentation cue selection	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.ArcDegrees	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:28	-	no runtime consumer; suspected intent: authored skill geometry and range band	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.LearnSource	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:62	-	no runtime consumer; suspected intent: skill acquisition and eligibility	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.RangeMax	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:25	-	no runtime consumer; suspected intent: authored skill geometry and range band	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.RangeMin	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:24	-	no runtime consumer; suspected intent: authored skill geometry and range band	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.RecoverySeconds	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:53	-	no runtime consumer; suspected intent: post-cast recovery timing	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.SfxHookId	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:61	-	no runtime consumer; suspected intent: battle presentation cue selection	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SkillDefinitionAsset.Width	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:27	-	no runtime consumer; suspected intent: authored skill geometry and range band	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StableTagDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/StableTagDefinition.cs:11	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusApplicationRule.Effects	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:26	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusApplicationRule.OwnershipPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:25	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusApplicationRule.ProcAttributionPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:24	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusApplicationRule.RefreshPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:23	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusApplicationRule.StackPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:22	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.DefaultOwnershipPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:93	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.DefaultProcAttributionPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:92	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.DefaultRefreshPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:91	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.DefaultStackCap	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:89	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.DefaultStackPolicy	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:90	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:34	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.Effects	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:96	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.IsAiRelevant	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:94	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:33	-	no runtime consumer; suspected intent: status stacking, refresh, ownership, AI, effect, or presentation policy	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.SfxHookId	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:85	-	no runtime consumer; suspected intent: battle presentation cue selection	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.StatusFamilyDefinition.VisualPriority	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:95	-	no runtime consumer; suspected intent: battle presentation cue selection	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SynergyTierDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyTierDefinition.cs:15	-	no runtime consumer; suspected intent: synergy tier effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SynergyTierDefinition.Effects	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyTierDefinition.cs:18	-	no runtime consumer; suspected intent: synergy tier effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.SynergyTierDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyTierDefinition.cs:14	-	no runtime consumer; suspected intent: synergy tier effects	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.TraitEntry.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitEntry.cs:14	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.TraitTokenDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitTokenDefinition.cs:13	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.TraitTokenDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitTokenDefinition.cs:12	-	no runtime consumer; suspected intent: player-facing presentation or localization	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.UnitArchetypeDefinition.RoleFamilyTag	Assets/_Game/Scripts/Runtime/Content/Definitions/UnitArchetypeDefinition.cs:24	-	no runtime consumer; suspected intent: archetype role and support-modifier selection	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Content.Definitions.UnitArchetypeDefinition.SupportModifierBiasTags	Assets/_Game/Scripts/Runtime/Content/Definitions/UnitArchetypeDefinition.cs:37	-	no runtime consumer; suspected intent: archetype role and support-modifier selection	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Core.Contracts.StatInheritanceProfile.DefenseBonusScalar	Assets/_Game/Scripts/Runtime/Core/Contracts/OwnershipContracts.cs:60	-	no runtime consumer; suspected intent: owned-summon stat inheritance	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Core.Contracts.StatInheritanceProfile.InheritBlock	Assets/_Game/Scripts/Runtime/Core/Contracts/OwnershipContracts.cs:64	-	no runtime consumer; suspected intent: owned-summon stat inheritance	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
unwired	SM.Core.Contracts.StatInheritanceProfile.InheritCritChance	Assets/_Game/Scripts/Runtime/Core/Contracts/OwnershipContracts.cs:62	-	no runtime consumer; suspected intent: owned-summon stat inheritance	wire in a separately ratified unit or delete after owner ratification; keep marked until then	-
