classification	file_line	authored_field	sentinel	falls_back_to	author_can_tell	guard_rule	asset_glob	guard_message
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:109	SM.Content.Definitions.SkillDefinitionAsset.VfxHookId	empty	vfx. plus skill id	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:112	SM.Content.Definitions.SkillDefinitionAsset.DisplacementDistance	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: negative DisplacementDistance is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:116	SM.Content.Definitions.SkillDefinitionAsset.OpeningLockSeconds	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: negative OpeningLockSeconds is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:122	SM.Content.Definitions.SkillDefinitionAsset.SupportModifier	null	no support modifier	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:142	SM.Content.Definitions.SupportModifierSpec	identity values	no compiled support modifier	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:163	SM.Content.Definitions.SupportModifierSpec.AddedStatuses	empty	null compiled added-status list	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:165	SM.Content.Definitions.SupportModifierSpec.OwnerModifiers	empty	null compiled owner-modifier list	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:170	SM.Content.Definitions.SkillDefinitionAsset.TriggeredEffects	null or empty	no triggered effects	true	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:186	SM.Content.Definitions.TriggeredEffectSpec.MaxStacks	0 or negative	1	false	lte:0	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: triggered-effect MaxStacks at or below 0 does not disable stacking. Runtime actually forces MaxStacks to 1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:194	SM.Content.Definitions.BasicAttackDefinition.Id	empty	archetypeId:basic_attack derived id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:195	SM.Content.Definitions.BasicAttackDefinition.NameKey	missing basic attack or empty NameKey	Basic Attack	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:203	SM.Content.Definitions.BasicAttackDefinition.TargetRule	missing	new default TargetRule	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:204	SM.Content.Definitions.BasicAttackDefinition.Lane	missing	Primary lane	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:205	SM.Content.Definitions.BasicAttackDefinition.LockRule	missing	SoftCommit	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:208	SM.Content.Definitions.BasicAttackDefinition.WeaponHandedness	missing	weapon-family handedness decision	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:220	SM.Content.Definitions.PassiveDefinition.Id	missing authored passive or empty id	compiled fallback skill id then slot fallback id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:221	SM.Content.Definitions.PassiveDefinition.NameKey	missing authored passive or empty name	compiled fallback skill name then slot fallback name	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:223	SM.Content.Definitions.PassiveDefinition.ActivationModel	missing authored passive	Passive	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:224	SM.Content.Definitions.PassiveDefinition.Effects	missing authored passive	compiled fallback skill effects then empty	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:226	SM.Content.Definitions.PassiveDefinition.EffectFamilyId	missing authored passive	compiled fallback skill family then empty	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:232	SM.Content.Definitions.MobilityDefinition.Profile	missing	archetype mobility profile then disabled None profile	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:237	SM.Content.Definitions.MobilityProfileDefinition.Distance	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative mobility Distance is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:238	SM.Content.Definitions.MobilityProfileDefinition.Cooldown	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative mobility Cooldown is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:239	SM.Content.Definitions.MobilityProfileDefinition.CastTime	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative mobility CastTime is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:240	SM.Content.Definitions.MobilityProfileDefinition.Recovery	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative mobility Recovery is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:241	SM.Content.Definitions.MobilityProfileDefinition.TriggerMinDistance	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative TriggerMinDistance is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:242	SM.Content.Definitions.MobilityProfileDefinition.TriggerMaxDistance	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative TriggerMaxDistance is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:243	SM.Content.Definitions.MobilityProfileDefinition.LateralBias	outside -1..1	clamped to -1..1	false	outside:-1:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: LateralBias outside -1..1 is silently changed. Runtime actually clamps it into -1..1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:245	SM.Content.Definitions.MobilityDefinition.Id	empty	archetypeId:mobility derived id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:248	SM.Content.Definitions.MobilityDefinition.TargetRule	missing	new default TargetRule	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:764	SM.Content.Definitions.SkillDefinitionAsset.BaseCooldownSeconds	0 or negative	basic attack cooldown	false	lte:0	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: BaseCooldownSeconds at or below 0 does not mean immediate reuse for cooldown skills. Runtime actually substitutes the basic attack cooldown. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Services/TargetScoringService.cs:485	SM.Core.Contracts.TargetRule.MaxAcquireRange	0 or negative	actor AttackRange plus 0.05	false	lte:0	Assets/Resources/_Game/Content/Definitions/Skills/*.asset	Wrong: MaxAcquireRange at or below 0 is not zero range. Runtime actually substitutes actor AttackRange and adds 0.05. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:1045	SM.Core.Contracts.TargetRule.MinimumCommitSeconds	missing TargetRuleData	0.75 seconds	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:748	compiled skill id	missing skill	actor AttackRange	true	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:630	SM.Content.Definitions.StatusFamilyDefinition.IncomingDamageDelta	combined multiplier below 0.25	0.25 incoming-damage multiplier	false	existing-validator:StatusMagnitudeChannelCatalogValidator	-	Wrong: guarded incoming-damage deltas can cross the runtime floor when combined. Runtime actually clamps the multiplier to 0.25. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:646	SM.Content.Definitions.StatusApplicationRule.Magnitude	reapplication has lower magnitude	existing higher magnitude	false	existing-validator:StatusMagnitudeChannelCatalogValidator	-	Wrong: reapplying a lower status Magnitude does not replace the old value. Runtime actually keeps the maximum magnitude. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:645	SM.Content.Definitions.StatusApplicationRule.DurationSeconds	reapplication has shorter duration while refresh is true	existing longer remaining duration	false	existing-validator:StatusMagnitudeChannelCatalogValidator	-	Wrong: a shorter refreshed DurationSeconds does not shorten an existing status. Runtime actually keeps the maximum remaining duration. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:949	SM.Content.Definitions.StatusApplicationRule.Magnitude	healing reduction above 0.9	0.1 healing-taken multiplier	false	existing-validator:StatusMagnitudeChannelCatalogValidator	-	Wrong: effective healing reduction above 0.9 is silently floored. Runtime actually keeps at least a 0.1 healing-taken multiplier. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:955	SM.Content.Definitions.StatusApplicationRule.Magnitude	tempo reduction above 0.9	0.1 attack-speed and move-speed multiplier	false	existing-validator:StatusMagnitudeChannelCatalogValidator	-	Wrong: effective tempo reduction above 0.9 is silently floored. Runtime actually keeps at least a 0.1 speed multiplier. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:71	SM.Content.Definitions.StatusFamilyDefinition.IncomingDamageDelta	status rules not injected	-0.1 guarded delta	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:74	all status-family kind and channel fields	status rules not injected	static launch-compatible status rules	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:95	SM.Content.Definitions.UnitArchetypeDefinition.BaseAttackRange	below 0.5	0.5 before profile fallback	false	lt:0.5	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BaseAttackRange below 0.5 is silently changed during snapshot construction. Runtime actually uses at least 0.5. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:96	SM.Content.Definitions.UnitArchetypeDefinition.BaseCollisionRadius	below 0.1	0.1 before profile fallback	false	lt:0.1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BaseCollisionRadius below 0.1 is silently changed during snapshot construction. Runtime actually uses at least 0.1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:97	SM.Content.Definitions.UnitArchetypeDefinition.BaseMaxHealth	below 1	1 before profile fallback	false	lt:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BaseMaxHealth below 1 is silently changed during snapshot construction. Runtime actually uses at least 1 for profile resolution. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:107	SM.Content.Definitions.UnitArchetypeDefinition.BaseMaxEnergy	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BaseMaxEnergy below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:108	SM.Content.Definitions.UnitArchetypeDefinition.BaseStartingEnergy	outside 0..BaseMaxEnergy	clamped into 0..effective max	false	existing-validator:reachability-fallback-registry	-	Wrong: BaseStartingEnergy outside the effective energy range is silently changed. Runtime actually clamps it into 0..max energy. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:119	SM.Content.Definitions.UnitArchetypeDefinition.FootprintProfile	missing	class-derived footprint profile	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:122	SM.Content.Definitions.FootprintProfileDefinition.NavigationRadius	below 0.15	0.15	false	lt:0.15	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: NavigationRadius below 0.15 is silently changed. Runtime actually uses at least 0.15. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:123	SM.Content.Definitions.FootprintProfileDefinition.SeparationRadius	below 0.2	0.2	false	lt:0.2	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: SeparationRadius below 0.2 is silently changed. Runtime actually uses at least 0.2. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:124	SM.Content.Definitions.FootprintProfileDefinition.CombatReach	below 0.4	0.4	false	lt:0.4	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: CombatReach below 0.4 is silently changed. Runtime actually uses at least 0.4. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:126	SM.Content.Definitions.FootprintProfileDefinition.PreferredRangeMin	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative PreferredRangeMin is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:127	SM.Content.Definitions.FootprintProfileDefinition.PreferredRangeMax	below PreferredRangeMin	PreferredRangeMin	false	existing-validator:reachability-fallback-registry	-	Wrong: PreferredRangeMax below PreferredRangeMin is silently changed. Runtime actually raises max to min. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:128	SM.Content.Definitions.FootprintProfileDefinition.EngagementSlotCount	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: EngagementSlotCount below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:129	SM.Content.Definitions.FootprintProfileDefinition.EngagementSlotRadius	below 0.4	0.4	false	lt:0.4	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: EngagementSlotRadius below 0.4 is silently changed. Runtime actually uses at least 0.4. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:131	SM.Content.Definitions.FootprintProfileDefinition.HeadAnchorHeight	below 1.1	1.1	false	lt:1.1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: HeadAnchorHeight below 1.1 is silently changed. Runtime actually uses at least 1.1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:196	SM.Content.Definitions.UnitArchetypeDefinition.BehaviorProfile	missing	class-derived behavior profile	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:199	SM.Content.Definitions.BehaviorProfileDefinition.ReevaluationInterval	below 0.1	0.1	false	lt:0.1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: ReevaluationInterval below 0.1 is silently changed. Runtime actually uses at least 0.1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:200	SM.Content.Definitions.BehaviorProfileDefinition.RangeHysteresis	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative RangeHysteresis is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:201	SM.Content.Definitions.BehaviorProfileDefinition.RetreatBias	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: RetreatBias outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:202	SM.Content.Definitions.BehaviorProfileDefinition.MaintainRangeBias	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: MaintainRangeBias outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:203	SM.Content.Definitions.BehaviorProfileDefinition.Opportunism	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: Opportunism outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:204	SM.Content.Definitions.BehaviorProfileDefinition.Discipline	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: Discipline outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:205	SM.Content.Definitions.BehaviorProfileDefinition.DodgeChance	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: DodgeChance outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
